[0, 'ENSMUSG00000090025.1']
[1, 'ENSMUSG00000064842.1']
[2, 'ENSMUSG00000051951.5']
[3, 'ENSMUSG00000089699.1']
[4, 'ENSMUSG00000088390.1']
[5, 'ENSMUSG00000089420.1']
[6, 'ENSMUSG00000025900.4']
[7, 'ENSMUSG00000025902.7']
[8, 'ENSMUSG00000064376.1']
[9, 'ENSMUSG00000088000.1']
[10, 'ENSMUSG00000033845.7']
[11, 'ENSMUSG00000025903.8']
[12, 'ENSMUSG00000033813.8']
[13, 'ENSMUSG00000062588.3']
[14, 'ENSMUSG00000002459.10']
[15, 'ENSMUSG00000091305.1']
[16, 'ENSMUSG00000085623.1']
[17, 'ENSMUSG00000091665.1']
[18, 'ENSMUSG00000033793.7']
[19, 'ENSMUSG00000025905.7']
[20, 'ENSMUSG00000093015.1']
[21, 'ENSMUSG00000033774.4']
[22, 'ENSMUSG00000025907.7']
[23, 'ENSMUSG00000090031.1']
[24, 'ENSMUSG00000073741.1']
[25, 'ENSMUSG00000087247.1']
[26, 'ENSMUSG00000033740.10']
[27, 'ENSMUSG00000051285.9']
[28, 'ENSMUSG00000048538.7']
[29, 'ENSMUSG00000077244.1']
[30, 'ENSMUSG00000086461.2']
[31, 'ENSMUSG00000025909.9']
[32, 'ENSMUSG00000086235.1']
[33, 'ENSMUSG00000076169.1']
[34, 'ENSMUSG00000084353.1']
[35, 'ENSMUSG00000076135.1']
[36, 'ENSMUSG00000086195.1']
[37, 'ENSMUSG00000066693.2']
[38, 'ENSMUSG00000065625.1']
[39, 'ENSMUSG00000061024.7']
[40, 'ENSMUSG00000025911.8']
[41, 'ENSMUSG00000079671.2']
[42, 'ENSMUSG00000081441.2']
[43, 'ENSMUSG00000067879.3']
[44, 'ENSMUSG00000025912.9']
[45, 'ENSMUSG00000045210.8']
[46, 'ENSMUSG00000085661.1']
[47, 'ENSMUSG00000025915.7']
[48, 'ENSMUSG00000046334.3']
[49, 'ENSMUSG00000088916.1']
[50, 'ENSMUSG00000046101.9']
[51, 'ENSMUSG00000093178.1']
[52, 'ENSMUSG00000073738.2']
[53, 'ENSMUSG00000025916.3']
[54, 'ENSMUSG00000087199.1']
[55, 'ENSMUSG00000065085.1']
[56, 'ENSMUSG00000025917.3']
[57, 'ENSMUSG00000056763.9']
[58, 'ENSMUSG00000067851.5']
[59, 'ENSMUSG00000088153.1']
[60, 'ENSMUSG00000042501.6']
[61, 'ENSMUSG00000083422.1']
[62, 'ENSMUSG00000065035.1']
[63, 'ENSMUSG00000081417.1']
[64, 'ENSMUSG00000088585.1']
[65, 'ENSMUSG00000048960.7']
[66, 'ENSMUSG00000077318.1']
[67, 'ENSMUSG00000057715.6']
[68, 'ENSMUSG00000064969.1']
[69, 'ENSMUSG00000066918.5']
[70, 'ENSMUSG00000016918.8']
[71, 'ENSMUSG00000025938.9']
