[0, 'ENSG00000223972.4']
[1, 'ENSG00000227232.4']
[2, 'ENSG00000243485.2']
[3, 'ENSG00000237613.2']
[4, 'ENSG00000268020.2']
[5, 'ENSG00000240361.1']
[6, 'ENSG00000186092.4']
[7, 'ENSG00000238009.2']
[8, 'ENSG00000239945.1']
[9, 'ENSG00000233750.3']
[10, 'ENSG00000237683.5']
[11, 'ENSG00000268903.1']
[12, 'ENSG00000269981.1']
[13, 'ENSG00000239906.1']
[14, 'ENSG00000241860.2']
[15, 'ENSG00000222623.1']
[16, 'ENSG00000241599.1']
[17, 'ENSG00000228463.4']
[18, 'ENSG00000241670.2']
[19, 'ENSG00000237094.7']
[20, 'ENSG00000250575.1']
[21, 'ENSG00000233653.3']
[22, 'ENSG00000224813.2']
[23, 'ENSG00000235249.1']
[24, 'ENSG00000269732.1']
[25, 'ENSG00000256186.1']
[26, 'ENSG00000236601.1']
[27, 'ENSG00000236743.1']
[28, 'ENSG00000236679.2']
[29, 'ENSG00000231709.1']
[30, 'ENSG00000235146.2']
[31, 'ENSG00000239664.2']
[32, 'ENSG00000230021.3']
[33, 'ENSG00000223659.1']
[34, 'ENSG00000225972.1']
[35, 'ENSG00000225630.1']
[36, 'ENSG00000237973.1']
[37, 'ENSG00000229344.1']
[38, 'ENSG00000240409.1']
[39, 'ENSG00000248527.1']
[40, 'ENSG00000198744.5']
[41, 'ENSG00000268663.1']
[42, 'ENSG00000185097.2']
[43, 'ENSG00000229376.3']
[44, 'ENSG00000224956.5']
[45, 'ENSG00000235373.1']
[46, 'ENSG00000223181.1']
[47, 'ENSG00000240618.1']
[48, 'ENSG00000229905.1']
[49, 'ENSG00000228327.2']
[50, 'ENSG00000237491.4']
[51, 'ENSG00000230092.3']
[52, 'ENSG00000269831.1']
[53, 'ENSG00000240453.1']
[54, 'ENSG00000177757.1']
[55, 'ENSG00000225880.4']
[56, 'ENSG00000228794.4']
[57, 'ENSG00000230368.2']
[58, 'ENSG00000234711.1']
[59, 'ENSG00000269308.1']
[60, 'ENSG00000272438.1']
[61, 'ENSG00000230699.2']
[62, 'ENSG00000241180.1']
[63, 'ENSG00000223764.2']
[64, 'ENSG00000187634.6']
[65, 'ENSG00000268179.1']
[66, 'ENSG00000188976.6']
[67, 'ENSG00000187961.9']
[68, 'ENSG00000187583.6']
[69, 'ENSG00000187642.5']
[70, 'ENSG00000272512.1']
[71, 'ENSG00000188290.6']
[72, 'ENSG00000231702.2']
[73, 'ENSG00000224969.1']
[74, 'ENSG00000187608.5']
[75, 'ENSG00000188157.9']
[76, 'ENSG00000242590.1']
[77, 'ENSG00000217801.5']
[78, 'ENSG00000273443.1']
[79, 'ENSG00000237330.2']
[80, 'ENSG00000131591.13']
[81, 'ENSG00000223823.1']
[82, 'ENSG00000207730.1']
[83, 'ENSG00000207607.1']
[84, 'ENSG00000198976.1']
[85, 'ENSG00000272141.1']
[86, 'ENSG00000205231.1']
[87, 'ENSG00000162571.9']
[88, 'ENSG00000186891.9']
[89, 'ENSG00000186827.6']
