[0, 'ENSMUSG00000102693.1']
[1, 'ENSMUSG00000064842.1']
[2, 'ENSMUSG00000051951.5']
[3, 'ENSMUSG00000102851.1']
[4, 'ENSMUSG00000103377.1']
[5, 'ENSMUSG00000104017.1']
[6, 'ENSMUSG00000103025.1']
[7, 'ENSMUSG00000089699.1']
[8, 'ENSMUSG00000103201.1']
[9, 'ENSMUSG00000103147.1']
[10, 'ENSMUSG00000103161.1']
[11, 'ENSMUSG00000102331.1']
[12, 'ENSMUSG00000102348.1']
[13, 'ENSMUSG00000102592.1']
[14, 'ENSMUSG00000088333.2']
[15, 'ENSMUSG00000102343.1']
[16, 'ENSMUSG00000102948.1']
[17, 'ENSMUSG00000025900.6']
[18, 'ENSMUSG00000104123.1']
[19, 'ENSMUSG00000025902.9']
[20, 'ENSMUSG00000104238.1']
[21, 'ENSMUSG00000102269.1']
[22, 'ENSMUSG00000096126.1']
[23, 'ENSMUSG00000103003.1']
[24, 'ENSMUSG00000104328.1']
[25, 'ENSMUSG00000102735.1']
[26, 'ENSMUSG00000098104.1']
[27, 'ENSMUSG00000102175.1']
[28, 'ENSMUSG00000088000.1']
[29, 'ENSMUSG00000103265.1']
[30, 'ENSMUSG00000103922.1']
[31, 'ENSMUSG00000033845.9']
[32, 'ENSMUSG00000102275.1']
[33, 'ENSMUSG00000025903.10']
[34, 'ENSMUSG00000104217.1']
[35, 'ENSMUSG00000033813.11']
[36, 'ENSMUSG00000062588.4']
[37, 'ENSMUSG00000103280.1']
[38, 'ENSMUSG00000002459.13']
[39, 'ENSMUSG00000091305.1']
[40, 'ENSMUSG00000102653.1']
[41, 'ENSMUSG00000085623.1']
[42, 'ENSMUSG00000091665.1']
[43, 'ENSMUSG00000033793.8']
[44, 'ENSMUSG00000104352.1']
[45, 'ENSMUSG00000104046.1']
[46, 'ENSMUSG00000102907.1']
[47, 'ENSMUSG00000025905.9']
[48, 'ENSMUSG00000103936.1']
[49, 'ENSMUSG00000093015.1']
[50, 'ENSMUSG00000103519.1']
[51, 'ENSMUSG00000033774.4']
[52, 'ENSMUSG00000103090.1']
[53, 'ENSMUSG00000025907.10']
[54, 'ENSMUSG00000090031.2']
[55, 'ENSMUSG00000087247.3']
[56, 'ENSMUSG00000103355.1']
[57, 'ENSMUSG00000102706.1']
[58, 'ENSMUSG00000103845.1']
[59, 'ENSMUSG00000033740.13']
[60, 'ENSMUSG00000103329.1']
[61, 'ENSMUSG00000104385.1']
[62, 'ENSMUSG00000102135.1']
[63, 'ENSMUSG00000103282.1']
[64, 'ENSMUSG00000102534.1']
[65, 'ENSMUSG00000102213.1']
[66, 'ENSMUSG00000103629.1']
[67, 'ENSMUSG00000051285.13']
[68, 'ENSMUSG00000098201.1']
[69, 'ENSMUSG00000103509.1']
[70, 'ENSMUSG00000048538.7']
[71, 'ENSMUSG00000103709.1']
